;precision;recall;f1-score;support
Digital Options;0.6;0.545;0.571;11.0
Employee Attitude and Behavior;0.73;0.814;0.77;113.0
Employee Contact;0.5;0.4;0.444;5.0
Employee Knowledge & Skills;0.714;0.465;0.563;43.0
Handling;0.581;0.59;0.585;61.0
Information Provision;0.785;0.866;0.824;202.0
No topic found;0.481;0.406;0.441;32.0
Overall Experience;0.657;0.767;0.708;60.0
Price and Quality;0.462;0.316;0.375;19.0
Processes;0.721;0.554;0.626;56.0
Quality and Offering;0.0;0.0;0.0;5.0
accuracy;0.703;0.703;0.703;0.703
macro avg;0.566;0.52;0.537;607.0
weighted avg;0.692;0.703;0.693;607.0
